01/02/2002,01,10,20,23,29,31,56
01/05/2002,01,17,32,42,43,54,35
01/09/2002,11,15,31,39,47,48,25
01/12/2002,01,10,17,20,23,34,22
01/16/2002,05,16,21,30,38,49,03
01/19/2002,11,23,28,39,44,53,42
01/23/2002,11,16,20,22,30,37,23
01/26/2002,01,09,32,36,56,57,55
01/30/2002,09,16,21,28,30,48,49
02/02/2002,18,34,37,38,42,55,39
02/06/2002,02,03,30,43,55,59,24
02/09/2002,16,25,28,29,46,48,12
02/13/2002,14,30,33,45,52,59,34
02/16/2002,14,17,23,25,39,45,16
02/20/2002,04,05,10,46,50,56,25
02/23/2002,04,24,30,37,40,45,27
02/27/2002,08,19,22,31,44,53,25
03/02/2002,15,18,25,26,27,52,11
03/06/2002,07,17,29,47,57,59,23
03/09/2002,08,20,22,24,33,41,29
03/13/2002,04,07,19,21,26,56,35
03/16/2002,07,19,44,47,48,54,51
03/20/2002,03,16,27,33,51,58,30
03/23/2002,08,23,25,26,40,58,18
03/27/2002,09,16,20,32,34,41,03
03/30/2002,21,24,36,38,41,47,02
04/03/2002,02,19,26,33,50,58,59
04/06/2002,15,31,33,37,49,55,28
04/10/2002,02,08,11,16,37,54,49
04/13/2002,07,09,13,33,35,59,24
04/17/2002,02,11,15,19,23,56,14
04/20/2002,02,08,17,23,27,55,01
04/24/2002,07,26,39,41,50,56,03
04/27/2002,08,09,10,22,31,49,20
05/01/2002,10,20,30,31,42,49,04
05/04/2002,04,08,14,27,44,50,25
05/08/2002,06,10,17,31,35,51,34
05/11/2002,05,07,21,27,29,50,42
05/15/2002,06,12,15,23,39,56,19
05/18/2002,16,24,32,34,39,54,50
05/22/2002,09,12,13,14,23,53,43
05/25/2002,01,05,10,16,28,34,49
05/29/2002,05,14,23,25,33,48,20
06/01/2002,04,44,46,49,54,59,40
06/05/2002,12,15,31,40,47,59,55
06/08/2002,06,26,35,39,50,52,18
06/12/2002,14,20,21,47,51,54,43
06/15/2002,07,16,30,40,51,56,50
06/19/2002,03,14,22,45,50,56,54
06/22/2002,01,07,11,22,42,52,32
06/26/2002,06,10,13,27,29,43,33
06/29/2002,02,15,20,24,48,53,56
07/03/2002,07,11,21,42,45,52,39
07/06/2002,04,20,26,30,54,58,46
07/10/2002,27,36,37,51,58,59,07
07/13/2002,05,07,15,23,32,44,39
07/17/2002,18,22,30,51,55,59,08
07/20/2002,03,10,24,29,44,52,08
07/24/2002,18,19,25,42,52,56,29
07/27/2002,07,28,37,45,48,52,05
07/31/2002,05,13,21,23,38,57,45
08/03/2002,04,10,28,35,38,55,33
08/07/2002,02,15,23,39,54,56,13
08/10/2002,05,13,23,33,45,57,51
08/14/2002,06,09,29,33,52,57,20
08/17/2002,04,06,19,24,33,41,35
08/21/2002,04,06,07,20,44,57,24
08/24/2002,13,15,19,32,34,48,02
08/28/2002,09,35,41,45,54,55,43
08/31/2002,07,17,36,38,48,55,10
09/04/2002,09,12,18,33,36,50,38
09/07/2002,03,23,29,38,45,58,10
09/11/2002,03,07,11,15,52,58,56
09/14/2002,11,18,35,51,53,55,22
09/18/2002,04,10,23,47,53,58,38
09/21/2002,14,35,36,44,51,58,50
09/25/2002,03,11,16,17,46,53,41
09/28/2002,08,39,42,44,48,49,03
10/02/2002,11,20,23,28,45,57,03
10/05/2002,02,09,10,16,24,44,43
10/09/2002,05,24,29,31,39,48,13
10/12/2002,01,02,18,42,55,57,36
10/16/2002,05,06,23,35,36,44,19
10/19/2002,01,20,25,40,42,46,34
10/23/2002,03,11,29,37,41,49,27
10/26/2002,13,22,27,46,49,53,16
10/30/2002,09,20,21,28,32,50,41
11/02/2002,02,05,11,24,45,52,06
11/06/2002,24,27,37,50,51,58,55
11/09/2002,08,26,34,35,44,50,23
11/13/2002,16,19,28,32,53,54,14
11/16/2002,19,30,36,39,46,47,05
11/20/2002,04,09,17,21,43,57,56
11/23/2002,04,12,13,17,49,58,35
11/28/2001,10,25,35,45,48,49,43
12/01/2001,02,14,15,21,48,51,36
12/05/2001,07,43,46,49,52,57,40
12/08/2001,01,11,35,50,55,56,07
12/12/2001,06,15,18,31,48,53,26
12/15/2001,02,09,18,26,36,57,39
12/19/2001,06,15,26,30,55,56,14
12/22/2001,19,20,25,36,38,53,47
12/26/2001,02,18,21,38,39,44,13
12/29/2001,17,26,35,47,55,57,53
