02/01/2012	8	13	59	17	34	35
01/28/2012	41	54	59	33	5	13
01/25/2012	28	19	29	47	4	5
01/21/2012	44	12	43	24	45	7
01/18/2012	50	34	29	6	44	28
01/14/2012	41	30	10	36	38	1
01/11/2012	47	5	29	45	19	25
01/07/2012	3	24	38	21	39	24
01/04/2012	50	35	21	47	46	2
12/31/2011	5	25	40	23	28	34
12/28/2011	16	27	45	41	21	14
12/24/2011	52	51	16	14	30	19
12/21/2011	31	15	13	54	10	18
12/17/2011	59	28	51	13	49	33
12/14/2011	46	52	24	56	2	19
12/10/2011	33	41	4	19	59	9
12/07/2011	39	20	14	40	3	37
12/03/2011	18	5	33	43	45	8
11/30/2011	47	6	2	34	35	22
11/26/2011	55	20	37	45	39	28
11/23/2011	30	35	57	4	59	25
11/19/2011	16	9	17	28	30	11
11/16/2011	22	25	39	13	51	28
11/12/2011	56	4	35	51	36	8
11/09/2011	58	59	35	5	57	12
11/05/2011	43	39	2	33	40	26
11/02/2011	12	39	14	46	34	36
10/29/2011	11	40	16	51	56	38
10/26/2011	39	21	1	18	55	6
10/22/2011	8	3	23	30	58	13
10/19/2011	26	35	16	52	58	2
10/15/2011	38	24	5	10	43	1
10/12/2011	43	10	12	23	47	18
10/08/2011	35	3	37	27	45	31
10/05/2011	46	7	43	54	20	17
10/01/2011	27	43	12	23	1	31
09/28/2011	41	51	30	50	53	8
09/24/2011	27	12	3	4	44	26
09/21/2011	47	52	55	48	12	13
09/17/2011	43	22	6	20	32	11
09/14/2011	16	50	42	59	41	5
09/10/2011	32	53	22	4	19	24
09/07/2011	54	3	5	27	18	13
09/03/2011	15	52	25	53	54	2
08/31/2011	19	35	57	47	13	29
08/27/2011	2	54	12	58	25	14
08/24/2011	49	53	13	9	47	39
08/20/2011	23	2	47	28	17	36
08/17/2011	31	28	48	18	52	37
08/13/2011	35	9	50	12	58	4
08/10/2011	46	41	36	18	11	38
08/06/2011	57	59	54	25	30	6
08/03/2011	49	19	13	28	21	11
07/30/2011	55	20	40	47	41	19
07/27/2011	40	51	59	41	38	33
07/23/2011	38	1	48	27	7	30
07/20/2011	40	42	38	1	4	17
07/16/2011	28	48	54	24	50	25
07/13/2011	54	18	8	19	32	8
07/09/2011	31	9	23	1	11	6
07/06/2011	55	50	24	11	15	8
07/02/2011	11	29	1	51	18	32
06/29/2011	30	24	57	59	45	26
06/25/2011	18	39	57	36	41	12
06/22/2011	59	12	46	19	15	12
06/18/2011	22	38	21	12	41	18
06/15/2011	41	43	20	19	38	29
06/11/2011	50	16	18	36	27	8
06/08/2011	53	37	14	44	45	29
06/04/2011	17	58	39	19	41	21
06/01/2011	56	38	46	8	18	31
05/28/2011	43	12	20	51	55	11
05/25/2011	50	4	31	42	23	23
05/21/2011	8	49	2	40	50	36
05/18/2011	7	12	42	49	13	16
05/14/2011	40	18	17	8	44	16
05/11/2011	43	32	9	45	17	31
05/07/2011	11	55	47	2	27	15
05/04/2011	15	41	29	27	3	24
04/30/2011	41	15	6	13	32	3
04/27/2011	40	44	55	24	4	5
04/23/2011	58	11	3	48	47	19
04/20/2011	9	24	43	34	36	27
04/16/2011	21	55	33	45	44	7
04/13/2011	4	49	39	50	23	39
04/09/2011	53	5	56	14	32	11
04/06/2011	56	18	55	10	41	15
04/02/2011	43	22	34	6	45	23
03/30/2011	58	56	20	19	42	37
03/26/2011	10	4	11	33	19	27
03/23/2011	15	28	5	26	32	9
03/19/2011	11	20	46	27	3	8
03/16/2011	53	28	48	39	40	9
03/12/2011	4	41	1	12	47	3
03/09/2011	12	20	28	40	48	8
03/05/2011	42	31	23	48	2	21
03/02/2011	50	58	7	31	51	6
02/26/2011	4	45	21	17	13	10
02/23/2011	32	36	39	29	49	29
02/19/2011	12	34	3	42	37	36
02/16/2011	23	48	21	9	13	24
02/12/2011	32	52	36	48	11	19
02/09/2011	51	39	42	11	7	30
02/05/2011	15	41	59	37	56	5
02/02/2011	33	57	53	3	14	36
01/29/2011	28	45	24	52	49	2
01/26/2011	4	47	58	5	36	6
01/22/2011	34	30	51	31	45	23
01/19/2011	36	51	56	22	59	32
