15	18	25	30	33	47
04	09	28	39	41	44
02	04	32	36	44	52
06	21	22	24	29	32
12	28	45	46	47	52
03	25	29	30	48	48
13	14	22	27	28	42
05	06	09	33	44	52
02	04	08	32	37	43
06	13	18	18	27	45
06	13	18	32	39	49
04	18	21	27	41	50
04	18	31	49	50	51
06	14	22	32	35	44
11	20	26	29	41	41
26	29	31	40	44	48
13	15	19	23	38	47
10	24	35	47	49	52
07	09	15	24	37	46
07	10	12	29	32	38
20	27	28	32	37	49
01	02	06	22	27	44
07	10	16	23	28	31
02	06	14	38	40	50
07	17	23	26	43	44
03	10	15	18	25	52
22	31	33	43	44	52
02	06	13	20	23	43
05	19	20	44	45	48
02	05	11	18	22	45
06	31	32	42	42	51
08	10	23	36	49	51
31	35	39	42	49	51
04	06	10	21	21	25
12	24	32	37	40	51
05	07	10	19	26	44
01	02	04	05	08	46
08	21	32	34	42	50
05	23	27	30	33	36
07	15	21	30	32	37
01	10	42	43	45	51
18	25	34	43	47	50
09	11	17	26	29	41
06	20	22	27	34	51
10	31	38	40	48	51
16	20	26	32	36	48
04	08	15	34	39	47
09	10	14	35	41	49
05	10	22	23	37	43
02	07	16	28	36	47
14	17	19	37	47	48
03	24	28	45	48	50
