01,08,33,36,39
08,14,16,30,38
03,08,17,18,27
03,08,10,20,26
01,09,13,32,38
01,02,04,28,35
01,22,25,36,37
01,02,11,18,21
01,03,16,17,31
08,17,31,37,38
01,06,11,25,32
12,14,22,24,38
09,15,18,22,25
17,21,29,32,35
02,03,07,25,38
03,05,06,08,24
03,14,23,30,39
02,03,24,26,33
15,18,27,29,33
01,21,25,28,36
06,11,27,32,38
17,20,28,31,38
01,07,23,27,33
02,12,23,34,39
05,13,14,16,37
03,20,25,29,35
03,16,26,27,31
09,15,22,26,29
04,13,25,29,30
10,15,16,17,29
03,07,08,30,39
03,17,20,26,31
05,12,18,24,33
04,10,12,15,22
01,14,16,17,34
01,04,08,11,38
12,16,23,35,39
04,28,30,35,38
01,08,22,31,34
18,21,26,27,33
20,24,26,30,36
14,16,21,30,32
01,02,22,25,28
06,08,09,24,39
02,11,12,22,27
13,21,34,36,38
06,08,16,34,37
05,06,24,30,33
14,17,30,37,39
01,04,08,13,21
18,23,28,35,36
03,05,22,28,32
12,15,31,33,39
07,14,18,34,35
11,14,21,23,34
04,13,14,22,26
05,20,26,28,37
03,07,26,32,34
18,19,21,30,33
07,08,16,26,28
21,23,27,30,33
02,04,09,20,31
02,07,25,26,30
01,14,20,23,36
04,11,12,24,28
03,09,19,23,24
03,08,14,32,37
07,25,27,31,32
02,03,12,27,30
02,05,20,21,31
15,17,24,31,32
07,18,19,21,26
07,09,11,22,27
01,12,20,27,39
09,16,20,26,39
08,24,29,30,34
03,24,26,28,34
01,10,17,33,37
06,07,10,13,30
05,08,09,15,38
01,03,10,15,30
05,11,14,29,35
12,21,22,27,37
08,12,14,22,25
11,24,27,36,37
02,10,23,33,39
03,06,09,10,39
01,07,15,20,27
04,09,20,28,30
04,06,08,19,22
01,05,27,29,33
12,32,34,36,38
05,16,20,23,28
13,19,34,35,37
08,18,24,25,34
01,18,23,37,39
12,13,24,25,30
17,21,26,30,31
09,17,30,34,37
06,09,16,32,35
01,04,12,23,32
06,20,23,33,38
17,19,26,32,36
07,08,11,22,38
05,11,17,22,39
02,12,25,37,38
11,19,27,37,39
10,12,22,24,32
07,10,15,28,32
07,08,12,17,31
13,16,25,29,38
02,04,23,24,34
02,08,14,20,26
05,19,22,30,36
11,21,23,37,38
02,14,16,24,27
07,12,14,30,32
01,16,17,20,24
04,05,11,19,21
01,16,20,27,35
02,05,14,22,30
13,22,32,34,38
15,16,23,25,38
11,15,28,30,39
06,11,23,36,38
10,12,18,19,32
03,13,18,21,26
13,17,27,29,33
02,13,25,37,38
10,14,18,31,38
14,16,24,29,35
12,13,27,36,37
04,06,12,24,26
03,08,21,28,34
03,08,20,29,35
02,26,28,34,38
04,23,37,38,39
02,11,22,28,34
05,10,17,22,26
08,28,31,32,37
13,17,18,19,21
10,13,20,32,38
13,18,20,25,31
13,26,28,36,37
04,21,24,28,39
07,08,12,26,38
01,05,08,36,38
05,09,10,21,38
11,19,20,21,25
07,23,27,29,31
07,08,12,25,26
04,11,20,24,39
05,17,26,32,37
07,13,28,33,37
11,17,24,33,36
11,18,25,28,30
01,03,32,35,37
10,12,28,31,39
05,18,19,21,22
01,23,26,28,36
08,09,19,30,36
04,06,31,33,34
01,16,17,18,23
12,19,25,28,32
04,08,16,17,19
05,06,16,31,38
06,16,21,33,39
08,10,12,25,33
01,03,14,32,39
03,08,21,27,30
06,10,12,16,19
03,12,13,24,37
20,24,31,33,37
07,16,20,21,36
18,23,30,31,36
01,32,33,34,35
05,12,15,22,23
15,17,25,32,36
04,10,19,23,38
03,08,09,16,30
03,13,19,23,31
10,13,29,34,39
10,15,29,34,37
01,11,14,17,19
08,13,14,28,32
01,11,18,32,35
15,20,23,34,35
04,12,27,34,37
01,03,14,19,35
02,06,31,34,35
04,06,07,27,37
03,05,14,22,39
02,12,14,15,34
23,24,27,28,35
02,16,18,25,29
06,08,16,31,37
01,07,15,16,22
02,04,27,30,33
03,07,09,27,39
01,08,19,21,28
12,17,18,25,29
02,12,24,28,32
11,21,26,31,38
03,07,08,16,31
02,19,27,31,39
03,15,19,20,39
03,11,14,24,34
04,15,19,29,33
04,05,06,19,33
02,06,12,14,36
03,04,07,10,12
23,29,35,37,39
03,09,14,21,36
08,17,22,26,36
01,06,07,29,34
06,26,27,34,39
