01/11/2017,03,11,12,27,29
01/10/2017,03,06,17,24,32
01/09/2017,12,14,19,27,31
01/08/2017,06,17,26,29,37
01/07/2017,02,18,27,31,34
01/06/2017,11,18,19,21,33
01/05/2017,06,14,18,35,38
01/04/2017,05,11,15,17,36
01/03/2017,02,06,23,30,37
01/02/2017,03,05,20,22,36
01/01/2017,01,20,22,28,35
12/31/2016,05,24,25,29,36
12/30/2016,17,18,25,33,39
12/29/2016,06,16,17,28,36
12/28/2016,02,15,25,33,39
12/27/2016,04,20,25,27,35
12/26/2016,04,19,21,28,34
12/25/2016,04,07,11,15,31
12/24/2016,06,09,17,35,37
12/23/2016,12,16,20,27,31
12/22/2016,06,07,11,17,34
12/21/2016,03,04,29,30,36
12/20/2016,10,16,17,29,35
12/19/2016,08,09,12,14,28
12/18/2016,23,25,33,34,35
12/17/2016,06,09,10,19,25
12/16/2016,02,03,08,11,21
12/15/2016,05,06,20,26,37
12/14/2016,02,10,29,36,37
12/13/2016,01,03,07,25,28
12/12/2016,01,09,14,15,18
12/11/2016,08,15,17,23,24
12/10/2016,08,09,12,20,33
12/09/2016,02,14,28,36,39
12/08/2016,01,05,06,16,30
12/07/2016,02,10,18,26,29
12/06/2016,18,22,31,32,36
12/05/2016,13,19,23,31,37
12/04/2016,03,10,26,29,31
12/03/2016,14,22,26,29,34
12/02/2016,01,05,06,30,36
12/01/2016,01,25,30,31,35
11/30/2016,02,17,22,25,28
11/29/2016,03,06,16,26,31
11/28/2016,04,13,17,27,38
11/27/2016,01,17,28,33,35
11/26/2016,08,09,15,31,33
11/25/2016,09,10,16,30,33
11/24/2016,13,14,21,25,27
11/23/2016,09,10,19,30,39
11/22/2016,07,11,23,26,31
11/21/2016,18,20,29,30,37
11/20/2016,02,09,20,26,33
11/19/2016,01,03,09,19,31
11/18/2016,08,12,19,31,32
11/17/2016,03,12,18,25,34
11/16/2016,07,18,24,27,35
11/15/2016,02,04,09,17,18
11/14/2016,15,16,20,21,36
11/13/2016,05,10,11,23,36
11/12/2016,01,03,07,15,17
11/11/2016,05,13,20,23,26
11/10/2016,04,06,21,27,36
11/09/2016,07,15,17,35,36
11/08/2016,03,16,24,30,35
11/07/2016,04,09,20,21,32
11/06/2016,05,10,29,36,37
11/05/2016,03,13,15,20,30
11/04/2016,04,19,23,35,37
11/03/2016,02,10,28,38,39
11/02/2016,03,11,15,34,36
11/01/2016,01,11,27,31,35
10/18/2016,01,03,04,22,24
10/17/2016,06,25,26,31,35
10/16/2016,01,06,23,36,38
10/15/2016,01,14,28,33,36
10/14/2016,08,26,32,36,37
10/13/2016,02,06,10,16,29
10/12/2016,03,04,24,25,36
10/11/2016,12,16,24,26,39
10/10/2016,04,12,13,21,26
10/09/2016,10,29,33,37,39
10/08/2016,08,12,21,33,34
10/07/2016,02,04,08,12,16
10/06/2016,01,08,26,34,37
10/05/2016,14,21,22,25,39
10/04/2016,03,10,16,34,38
10/03/2016,10,11,27,34,35
10/02/2016,23,25,29,31,35
10/01/2016,11,17,19,26,39
09/30/2016,03,28,31,33,38
