05/17/2002	15	18	25	33	47	30
05/21/2002	04	28	39	41	44	09
05/24/2002	02	04	32	44	52	36
05/28/2002	06	21	22	29	32	24
05/31/2002	12	28	45	46	52	47
06/04/2002	03	25	29	30	48	48
06/07/2002	14	22	27	28	42	13
06/11/2002	05	06	09	33	44	52
06/14/2002	04	08	32	37	43	02
06/18/2002	06	13	18	27	45	18
06/21/2002	13	18	32	39	49	06
06/25/2002	04	18	21	27	41	50
06/28/2002	18	31	49	50	51	04
07/02/2002	14	22	32	35	44	06
07/05/2002	11	20	26	29	41	41
07/09/2002	26	29	31	44	48	40
07/12/2002	13	19	23	38	47	15
07/16/2002	10	24	35	49	52	47
07/19/2002	07	15	24	37	46	09
07/23/2002	10	12	29	32	38	07
07/26/2002	20	27	28	37	49	32
07/30/2002	02	06	22	27	44	01
08/02/2002	10	16	23	28	31	07
08/06/2002	02	06	38	40	50	14
08/09/2002	07	17	23	43	44	26
08/13/2002	03	10	15	18	25	52
08/16/2002	22	31	33	44	52	43
08/20/2002	02	13	20	23	43	06
08/23/2002	05	19	20	45	48	44
08/27/2002	02	05	11	18	45	22
08/30/2002	06	31	32	42	51	42
09/03/2002	08	23	36	49	51	10
09/06/2002	31	39	42	49	51	35
09/10/2002	04	06	10	21	25	21
09/13/2002	24	32	37	40	51	12
09/17/2002	07	10	19	26	44	05
09/20/2002	01	02	04	05	46	08
09/24/2002	08	32	34	42	50	21
09/27/2002	23	27	30	33	36	05
10/01/2002	07	21	30	32	37	15
10/04/2002	10	42	43	45	51	01
10/08/2002	18	34	43	47	50	25
10/11/2002	09	11	17	26	41	29
10/15/2002	06	20	27	34	51	22
10/18/2002	10	31	40	48	51	38
10/22/2002	16	20	26	36	48	32
10/25/2002	08	15	34	39	47	04
10/29/2002	09	10	14	41	49	35
11/01/2002	05	10	22	23	43	37
11/05/2002	02	07	16	28	36	47
11/08/2002	17	19	37	47	48	14
11/12/2002	03	28	45	48	50	24
