01,06,16,30,49,13
09,21,26,35,41,17
17,28,30,40,51,44
06,10,20,38,50,27
10,18,33,46,51,13
05,07,14,21,45,36
12,26,41,44,49,44
03,17,18,21,45,21
24,32,38,47,49,12
07,13,15,25,32,09
07,08,36,44,48,09
12,18,21,32,46,49
01,10,17,20,29,36
02,13,21,22,49,52
05,10,17,35,39,38
16,24,31,46,47,47
09,16,32,45,46,26
04,14,15,24,48,41
01,12,15,18,44,42
10,13,24,34,49,04
19,26,31,44,50,19
22,32,37,40,41,52
14,26,28,36,42,14
04,11,25,30,52,36
03,13,31,41,42,52
02,05,17,21,22,43
06,18,23,26,30,31
16,24,43,44,45,22
06,12,13,36,46,03
06,09,20,40,47,26
08,09,16,30,31,15
18,34,46,51,52,38
14,20,31,46,48,18
18,19,21,33,40,29
04,19,36,42,48,13
01,02,22,40,41,43
19,21,30,31,52,51
02,26,37,40,46,49
05,29,32,45,52,29
05,16,24,49,51,28
13,14,24,34,47,13
15,20,24,30,46,42
16,22,23,38,46,45
14,15,30,39,46,30
07,09,28,41,42,19
22,26,27,32,39,14
08,11,17,42,52,10
09,28,42,44,49,47
04,19,31,32,51,31
07,11,24,28,52,16
01,16,20,41,52,13
08,11,18,35,51,26
06,09,35,40,43,42
07,32,34,38,44,49
02,11,27,30,33,46
01,17,19,32,42,33
33,46,47,50,51,30
01,05,31,38,47,03
29,30,34,38,44,39
01,26,33,43,48,22
01,04,10,16,18,10
02,09,27,29,35,18
06,07,22,37,46,08
28,32,39,45,48,31
01,14,20,31,40,43
02,26,43,44,47,31
01,02,03,12,37,35
27,31,34,40,52,01
12,15,16,20,51,33
14,15,23,32,52,37
10,14,28,39,40,35
04,20,25,29,32,20
01,21,28,33,51,03
10,11,17,20,26,03
12,20,31,33,50,17
02,16,36,44,49,03
05,10,16,26,39,52
17,20,47,49,50,34
01,10,20,22,28,39
05,14,32,44,52,24
02,05,19,32,34,52
06,08,09,33,35,32
01,12,32,48,51,29
03,09,15,28,52,07
05,15,24,50,52,03
16,29,31,39,52,21
15,26,27,38,39,46
08,10,24,38,45,06
06,22,28,31,40,18
07,12,26,45,47,36
08,12,21,27,29,15
15,21,37,40,42,07
06,17,18,40,50,08
13,14,16,29,49,29
03,06,14,31,33,08
10,15,26,28,39,10
07,10,32,36,41,33
02,26,36,37,41,22
11,16,26,48,49,13
02,04,06,37,47,38
21,28,29,40,51,20
12,22,29,42,50,11
11,13,19,32,47,21
18,20,23,48,49,10
03,09,20,26,27,50
05,12,16,22,24,48
01,08,09,19,22,21
13,24,26,32,47,34
16,31,37,40,41,05
04,41,48,50,51,23
25,26,38,42,46,27
30,39,41,47,52,27
07,17,18,34,50,18
15,16,28,34,51,33
06,14,28,37,46,03
08,21,29,42,51,34
11,14,26,30,39,03
08,24,39,43,52,43
10,14,41,46,49,52
03,07,21,29,49,46
02,13,14,24,46,34
03,05,09,16,31,28
04,08,30,36,52,48
01,15,19,40,51,26
08,25,33,42,49,40
03,21,27,31,43,34
11,16,19,22,46,05
07,16,20,40,52,08
06,17,44,49,51,39
03,28,45,48,50,24
17,19,37,47,48,14
02,07,16,28,36,47
05,10,22,23,43,37
09,10,14,41,49,35
08,15,34,39,47,04
16,20,26,36,48,32
10,31,40,48,51,38
06,20,27,34,51,22
09,11,17,26,41,29
18,34,43,47,50,25
10,42,43,45,51,01
07,21,30,32,37,15
23,27,30,33,36,05
08,32,34,42,50,21
01,02,04,05,46,08
07,10,19,26,44,05
24,32,37,40,51,12
04,06,10,21,25,21
31,39,42,49,51,35
08,23,36,49,51,10
06,31,32,42,51,42
02,05,11,18,45,22
05,19,20,45,48,44
02,13,20,23,43,06
22,31,33,44,52,43
03,10,15,18,25,52
07,17,23,43,44,26
02,06,38,40,50,14
10,16,23,28,31,07
02,06,22,27,44,01
20,27,28,37,49,32
10,12,29,32,38,07
07,15,24,37,46,09
10,24,35,49,52,47
13,19,23,38,47,15
26,29,31,44,48,40
11,20,26,29,41,41
14,22,32,35,44,06
18,31,49,50,51,04
04,18,21,27,41,50
13,18,32,39,49,06
06,13,18,27,45,18
04,08,32,37,43,02
05,06,09,33,44,52
14,22,27,28,42,13
03,25,29,30,48,48
12,28,45,46,52,47
06,21,22,29,32,24
02,04,32,44,52,36
04,28,39,41,44,09
15,18,25,33,47,30
